Eastern NWS Region, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,38.0,-0.1
200002,45.7,5.2
200003,56.6,6.8
200004,60.2,-0.8
200005,73.8,1.9
200006,79.7,0.2
200007,80.0,-3.3
200008,79.8,-1.6
200009,73.4,-1.8
200010,66.4,1.9
200011,50.5,-1.2
200012,35.0,-5.8
200101,38.5,0.4
200102,44.5,4.0
200103,46.5,-3.3
200104,64.0,3.0
200105,73.5,1.6
200106,80.0,0.5
200107,81.1,-2.2
200108,84.1,2.7
200109,74.4,-0.8
200110,66.0,1.5
200111,59.8,8.1
200112,48.7,7.9
200201,44.1,6.0
200202,46.9,6.4
200203,52.0,2.2
200204,64.7,3.7
200205,69.9,-2.0
200206,80.8,1.3
200207,85.3,2.0
200208,84.9,3.5
200209,78.4,3.2
200210,61.8,-2.7
200211,49.7,-2.0
200212,40.2,-0.6
200301,33.0,-5.1
200302,37.1,-3.4
200303,52.6,2.8
200304,60.8,-0.2
200305,68.8,-3.1
200306,77.1,-2.4
200307,82.1,-1.2
200308,82.4,1.0
200309,74.4,-0.8
200310,62.8,-1.7
200311,57.3,5.6
200312,42.1,1.3
200401,33.3,-4.8
200402,40.8,0.3
200403,53.1,3.3
200404,62.1,1.1
200405,75.8,3.9
200406,77.9,-1.6
200407,81.4,-1.9
200408,79.5,-1.9
200409,75.6,0.4
200410,63.9,-0.6
200411,54.6,2.9
200412,42.7,1.9
200501,39.2,1.1
200502,43.4,2.9
200503,46.7,-3.1
200504,63.9,2.9
200505,68.0,-3.9
200506,81.5,2.0
200507,84.8,1.5
200508,84.0,2.6
200509,79.5,4.3
200510,64.2,-0.3
200511,56.3,4.6
200512,39.0,-1.8
200601,47.0,8.9
200602,41.9,1.4
200603,50.8,1.0
200604,66.3,5.3
200605,71.1,-0.8
200606,78.9,-0.6
200607,84.5,1.2
200608,82.9,1.5
200609,72.2,-3.0
200610,62.0,-2.5
200611,55.7,4.0
200612,49.4,8.6
200701,42.7,4.6
200702,35.0,-5.5
200703,53.7,3.9
200704,59.2,-1.8
200705,74.6,2.7
200706,81.3,1.8
200707,82.1,-1.2
200708,85.0,3.6
200709,78.9,3.7
200710,70.4,5.9
200711,52.1,0.4
200712,43.3,2.5
200801,40.8,2.7
200802,43.0,2.5
200803,50.1,0.3
200804,64.5,3.5
200805,69.8,-2.1
200806,82.2,2.7
200807,83.7,0.4
200808,80.7,-0.7
200809,76.0,0.8
200810,63.2,-1.3
200811,50.5,-1.2
200812,44.0,3.2
200901,34.5,-3.6
200902,43.5,3.0
200903,51.6,1.8
200904,63.6,2.6
200905,71.8,-0.1
200906,78.3,-1.2
200907,79.7,-3.6
200908,82.3,0.9
200909,74.0,-1.2
200910,60.8,-3.7
200911,56.3,4.6
200912,40.2,-0.6
201001,36.6,-1.5
201002,36.9,-3.6
201003,54.0,4.2
201004,68.2,7.2
201005,75.0,3.1
201006,82.3,2.8
201007,86.4,3.1
201008,83.5,2.1
201009,78.2,3.0
201010,65.5,1.0
201011,53.8,2.1
201012,35.3,-5.5
201101,35.0,-3.1
201102,43.6,3.1
201103,50.5,0.7
201104,63.5,2.5
201105,72.7,0.8
201106,81.3,1.8
201107,87.0,3.7
201108,82.7,1.3
201109,75.2,0.0
201110,63.5,-1.0
201111,57.9,6.2
201112,47.5,6.7
201201,43.1,5.0
201202,46.4,5.9
201203,61.8,12.0
201204,63.3,2.3
201205,75.7,3.8
201206,79.8,0.3
201207,86.9,3.6
201208,82.6,1.2
201209,75.2,0.0
201210,64.3,-0.2
201211,50.4,-1.3
201212,46.6,5.8
201301,41.7,3.6
201302,40.3,-0.2
201303,45.9,-3.9
201304,62.5,1.5
201305,72.4,0.5
201306,79.2,-0.3
201307,83.1,-0.2
201308,79.8,-1.6
201309,74.9,-0.3
201310,65.4,0.9
201311,50.3,-1.4
201312,42.8,2.0
201401,34.8,-3.3
201402,39.1,-1.4
201403,45.3,-4.5
201404,63.0,2.0
201405,73.2,1.3
201406,80.7,1.2
201407,81.7,-1.6
201408,80.0,-1.4
201409,75.2,0.0
201410,65.5,1.0
201411,48.8,-2.9
201412,44.3,3.5
201501,36.3,-1.8
201502,31.7,-8.8
201503,47.8,-2.0
201504,62.5,1.5
201505,77.0,5.1
201506,79.4,-0.1
201507,83.0,-0.3
201508,82.3,0.9
201509,78.8,3.6
201510,63.8,-0.7
201511,57.7,6.0
201512,53.5,12.7
201601,38.8,0.7
201602,43.8,3.3
201603,57.1,7.3
201604,62.3,1.3
201605,70.8,-1.1
201606,81.1,1.6
201607,85.6,2.3
201608,85.1,3.7
201609,79.3,4.1
201610,67.1,2.6
201611,56.4,4.7
201612,42.7,1.9
201701,43.5,5.4
201702,50.5,10.0
201703,49.5,-0.3
201704,66.8,5.8
201705,70.4,-1.5
201706,79.6,0.1
201707,83.3,0.0
201708,80.6,-0.8
201709,77.0,1.8
201710,69.5,5.0
201711,52.7,1.0
201712,39.9,-0.9
201801,36.9,-1.2
201802,48.8,8.3
201803,46.7,-3.1
201804,57.7,-3.3
201805,77.2,5.3
201806,80.1,0.6
201807,84.5,1.2
201808,83.2,1.8
201809,77.9,2.7
201810,63.7,-0.8
201811,47.3,-4.4
201812,43.6,2.8
201901,38.7,0.6
201902,44.1,3.6
201903,49.0,-0.8
201904,63.5,2.5
201905,73.3,1.4
201906,78.9,-0.6
201907,85.8,2.5
201908,82.5,1.1
201909,79.2,4.0
201910,67.1,2.6
201911,48.8,-2.9
201912,45.0,4.2
202001,44.1,6.0
202002,44.9,4.4
202003,55.4,5.6
202004,59.4,-1.6
202005,69.4,-2.5
202006,80.2,0.7
202007,86.9,3.6
202008,82.9,1.5
202009,74.9,-0.3
202010,65.1,0.6
202011,58.1,6.4
202012,43.5,2.7
202101,39.3,1.2
202102,38.9,-1.6
202103,55.6,5.8
202104,63.7,2.7
202105,71.7,-0.2
202106,81.2,1.7
202107,82.2,-1.1
202108,83.8,2.4
202109,76.6,1.4
202110,68.6,4.1
202111,52.3,0.6
202112,49.9,9.1
202201,36.4,-1.7
