Western NWS Region, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.0,4.5
200002,28.5,4.5
200003,30.1,1.5
200004,37.5,2.9
200005,44.3,2.5
200006,51.0,2.1
200007,55.6,0.4
200008,55.5,1.7
200009,47.6,0.7
200010,38.8,0.8
200011,23.9,-4.8
200012,22.8,0.4
200101,22.4,1.9
200102,22.4,-1.6
200103,31.8,3.2
200104,34.4,-0.2
200105,45.0,3.2
200106,50.0,1.1
200107,56.0,0.8
200108,56.4,2.6
200109,49.7,2.8
200110,39.7,1.7
200111,32.4,3.7
200112,22.7,0.3
200201,22.7,2.2
200202,23.6,-0.4
200203,25.1,-3.5
200204,35.6,1.0
200205,41.0,-0.8
200206,51.1,2.2
200207,58.3,3.1
200208,53.2,-0.6
200209,48.3,1.4
200210,35.4,-2.6
200211,30.4,1.7
200212,25.8,3.4
200301,28.8,8.3
200302,24.6,0.6
200303,30.9,2.3
200304,34.8,0.2
200305,43.1,1.3
200306,50.7,1.8
200307,58.7,3.5
200308,57.0,3.2
200309,49.0,2.1
200310,42.2,4.2
200311,26.6,-2.1
200312,25.5,3.1
200401,21.9,1.4
200402,24.4,0.4
200403,34.3,5.7
200404,37.0,2.4
200405,42.9,1.1
200406,50.1,1.2
200407,56.6,1.4
200408,54.9,1.1
200409,47.1,0.2
200410,39.1,1.1
200411,29.6,0.9
200412,26.1,3.7
200501,24.7,4.2
200502,26.8,2.8
200503,31.2,2.6
200504,34.9,0.3
200505,43.7,1.9
200506,48.2,-0.7
200507,57.2,2.0
200508,54.6,0.8
200509,46.2,-0.7
200510,39.7,1.7
200511,30.8,2.1
200512,23.6,1.2
200601,26.8,6.3
200602,23.4,-0.6
200603,27.8,-0.8
200604,36.5,1.9
200605,44.2,2.4
200606,52.8,3.9
200607,59.2,4.0
200608,53.8,0.0
200609,46.7,-0.2
200610,37.1,-0.9
200611,30.1,1.4
200612,23.0,0.6
200701,18.8,-1.7
200702,26.4,2.4
200703,33.0,4.4
200704,36.1,1.5
200705,43.6,1.8
200706,50.6,1.7
200707,59.5,4.3
200708,55.9,2.1
200709,47.2,0.3
200710,38.3,0.3
200711,30.6,1.9
200712,21.8,-0.6
200801,19.4,-1.1
200802,24.8,0.8
200803,28.1,-0.5
200804,31.6,-3.0
200805,41.8,0.0
200806,49.0,0.1
200807,56.4,1.2
200808,55.6,1.8
200809,47.6,0.7
200810,38.5,0.5
200811,33.7,5.0
200812,20.1,-2.3
200901,23.7,3.2
200902,25.4,1.4
200903,27.9,-0.7
200904,34.0,-0.6
200905,44.6,2.8
200906,49.3,0.4
200907,56.9,1.7
200908,54.4,0.6
200909,50.2,3.3
200910,36.1,-1.9
200911,30.0,1.3
200912,17.9,-4.5
201001,25.4,4.9
201002,26.2,2.2
201003,29.8,1.2
201004,33.6,-1.0
201005,38.6,-3.2
201006,49.7,0.8
201007,56.0,0.8
201008,53.9,0.1
201009,48.1,1.2
201010,41.3,3.3
201011,27.5,-1.2
201012,26.1,3.7
201101,22.5,2.0
201102,21.0,-3.0
201103,30.1,1.5
201104,33.3,-1.3
201105,39.7,-2.1
201106,48.1,-0.8
201107,55.3,0.1
201108,55.8,2.0
201109,49.9,3.0
201110,40.2,2.2
201111,28.0,-0.7
201112,21.9,-0.5
201201,24.1,3.6
201202,25.0,1.0
201203,30.9,2.3
201204,37.1,2.5
201205,42.6,0.8
201206,49.7,0.8
201207,57.2,2.0
201208,56.7,2.9
201209,49.5,2.6
201210,39.1,1.1
201211,32.3,3.6
201212,23.9,1.5
201301,19.1,-1.4
201302,24.3,0.3
201303,30.9,2.3
201304,35.0,0.4
201305,43.5,1.7
201306,51.7,2.8
201307,58.5,3.3
201308,56.2,2.4
201309,50.4,3.5
201310,36.0,-2.0
201311,30.3,1.6
201312,19.3,-3.1
201401,25.6,5.1
201402,25.5,1.5
201403,31.2,2.6
201404,36.0,1.4
201405,43.6,1.8
201406,50.2,1.3
201407,58.8,3.6
201408,55.8,2.0
201409,50.4,3.5
201410,42.5,4.5
201411,29.1,0.4
201412,27.7,5.3
201501,27.1,6.6
201502,30.6,6.6
201503,34.6,6.0
201504,35.2,0.6
201505,43.4,1.6
201506,54.7,5.8
201507,56.6,1.4
201508,56.4,2.6
201509,50.0,3.1
201510,44.2,6.2
201511,27.5,-1.2
201512,23.3,0.9
201601,24.5,4.0
201602,29.3,5.3
201603,33.0,4.4
201604,38.6,4.0
201605,43.4,1.6
201606,52.9,4.0
201607,56.4,1.2
201608,55.0,1.2
201609,47.9,1.0
201610,41.7,3.7
201611,34.2,5.5
201612,20.5,-1.9
201701,20.3,-0.2
201702,28.3,4.3
201703,33.9,5.3
201704,36.0,1.4
201705,43.1,1.3
201706,52.1,3.2
201707,58.9,3.7
201708,57.0,3.2
201709,48.9,2.0
201710,37.6,-0.4
201711,32.9,4.2
201712,23.7,1.3
201801,27.3,6.8
201802,21.7,-2.3
201803,29.2,0.6
201804,36.4,1.8
201805,45.9,4.1
201806,51.2,2.3
201807,58.7,3.5
201808,56.1,2.3
201809,48.4,1.5
201810,39.0,1.0
201811,29.3,0.6
201812,24.6,2.2
201901,25.3,4.8
201902,18.7,-5.3
201903,28.0,-0.6
201904,38.2,3.6
201905,41.5,-0.3
201906,50.0,1.1
201907,56.3,1.1
201908,56.6,2.8
201909,49.1,2.2
201910,33.0,-5.0
201911,29.9,1.2
201912,26.3,3.9
202001,25.6,5.1
202002,24.8,0.8
202003,30.0,1.4
202004,35.5,0.9
202005,44.4,2.6
202006,50.4,1.5
202007,56.2,1.0
202008,57.8,4.0
202009,50.1,3.2
202010,39.5,1.5
202011,30.0,1.3
202012,24.1,1.7
202101,25.2,4.7
202102,23.3,-0.7
202103,28.8,0.2
202104,35.5,0.9
202105,42.8,1.0
202106,55.1,6.2
202107,60.7,5.5
202108,56.2,2.4
202109,49.6,2.7
202110,38.8,0.8
202111,33.8,5.1
202112,24.0,1.6
202201,23.4,2.9
