Date,Value,Anomaly
200001,34.3,4.2
200002,38.1,3.9
200003,41.7,2
200004,51.3,4.1
200005,57.8,2.6
200006,65.8,2.6
200007,71.1,0.8
200008,70.8,2
200009,62,0.7
200010,50.6,-0.4
200011,34.1,-5.2
200012,33,1.2
200101,32,1.9
200102,32.5,-1.7
200103,43.3,3.6
200104,46.6,-0.6
200105,60.2,5
200106,64.7,1.5
200107,70.6,0.3
200108,72.1,3.3
200109,65.1,3.8
200110,53.1,2.1
200111,42.9,3.6
200112,31.6,-0.2
200201,32.1,2
200202,35.8,1.6
200203,37.1,-2.6
200204,48.7,1.5
200205,55.1,-0.1
200206,66.1,2.9
200207,73.8,3.5
200208,68.7,-0.1
200209,62.8,1.5
200210,48.7,-2.3
200211,41.6,2.3
200212,34.7,2.9
200301,38.7,8.6
200302,34.8,0.6
200303,42,2.3
200304,46.3,-0.9
200305,56.5,1.3
200306,65.6,2.4
200307,74.9,4.6
200308,71.9,3.1
200309,64,2.7
200310,56.3,5.3
200311,36.3,-3
200312,34.3,2.5
200401,31,0.9
200402,33.9,-0.3
200403,47.2,7.5
200404,50.2,3
200405,56.3,1.1
200406,64.7,1.5
200407,71.7,1.4
200408,69.3,0.5
200409,61.2,-0.1
200410,50.7,-0.3
200411,39.5,0.2
200412,35.2,3.4
200501,33.3,3.2
200502,37.2,3
200503,42.6,2.9
200504,47.6,0.4
200505,56.4,1.2
200506,61.7,-1.5
200507,73,2.7
200508,69.9,1.1
200509,61,-0.3
200510,52.3,1.3
200511,41.6,2.3
200512,33.1,1.3
200601,36.1,6
200602,35.4,1.2
200603,38.1,-1.6
200604,48.8,1.6
200605,58.6,3.4
200606,67.4,4.2
200607,74.6,4.3
200608,69.3,0.5
200609,61.5,0.2
200610,49.8,-1.2
200611,40.8,1.5
200612,33.2,1.4
200701,29.8,-0.3
200702,36.4,2.2
200703,45.9,6.2
200704,48.9,1.7
200705,58,2.8
200706,65.7,2.5
200707,74.9,4.6
200708,70.9,2.1
200709,61.6,0.3
200710,50.7,-0.3
200711,42.4,3.1
200712,30.8,-1
200801,28.9,-1.2
200802,35.4,1.2
200803,40.1,0.4
200804,45.3,-1.9
200805,55,-0.2
200806,63.9,0.7
200807,71.8,1.5
200808,70.7,1.9
200809,62.9,1.6
200810,52.2,1.2
200811,44.2,4.9
200812,29.8,-2
200901,34.1,4
200902,35.7,1.5
200903,39.7,0
200904,46.9,-0.3
200905,58.7,3.5
200906,62.5,-0.7
200907,72.2,1.9
200908,69.5,0.7
200909,65.8,4.5
200910,47.7,-3.3
200911,41.8,2.5
200912,27.5,-4.3
201001,34,3.9
201002,35.6,1.4
201003,41.6,1.9
201004,46,-1.2
201005,51.2,-4
201006,63.3,0.1
201007,71,0.7
201008,68.7,-0.1
201009,63.1,1.8
201010,53.3,2.3
201011,37.8,-1.5
201012,34.4,2.6
201101,32.4,2.3
201102,31.8,-2.4
201103,40.4,0.7
201104,45.1,-2.1
201105,51.9,-3.3
201106,61.8,-1.4
201107,70,-0.3
201108,71.3,2.5
201109,65.3,4
201110,52.6,1.6
201111,38.7,-0.6
201112,32.7,0.9
201201,35.2,5.1
201202,35.7,1.5
201203,42.9,3.2
201204,50.2,3
201205,56.9,1.7
201206,64.7,1.5
201207,72.2,1.9
201208,72.3,3.5
201209,65.1,3.8
201210,52.1,1.1
201211,43,3.7
201212,32.5,0.7
201301,29.4,-0.7
201302,34.9,0.7
201303,43.2,3.5
201304,47.8,0.6
201305,57.2,2
201306,66.5,3.3
201307,73.4,3.1
201308,70.9,2.1
201309,63.1,1.8
201310,49.1,-1.9
201311,41.1,1.8
201312,29.9,-1.9
201401,36.7,6.6
201402,35.8,1.6
201403,42.9,3.2
201404,49,1.8
201405,57.5,2.3
201406,64.7,1.5
201407,73.7,3.4
201408,69.4,0.6
201409,64.2,2.9
201410,55.6,4.6
201411,40.1,0.8
201412,35.9,4.1
201501,36.9,6.8
201502,41.8,7.6
201503,47.7,8
201504,48.9,1.7
201505,55.7,0.5
201506,69.6,6.4
201507,70.7,0.4
201508,71.3,2.5
201509,64.3,3
201510,56.3,5.3
201511,38,-1.3
201512,32.3,0.5
201601,33.1,3
201602,40.8,6.6
201603,44.6,4.9
201604,51.4,4.2
201605,56.3,1.1
201606,68,4.8
201607,71.4,1.1
201608,70.2,1.4
201609,61.7,0.4
201610,53,2
201611,45,5.7
201612,29.9,-1.9
201701,28.9,-1.2
201702,37.2,3
201703,45.2,5.5
201704,48,0.8
201705,57.1,1.9
201706,67,3.8
201707,74.4,4.1
201708,72,3.2
201709,62.4,1.1
201710,51.4,0.4
201711,43.3,4
201712,34.5,2.7
201801,37,6.9
201802,33,-1.2
201803,40.2,0.5
201804,49.2,2
201805,59.2,4
201806,65.8,2.6
201807,73.9,3.6
201808,71,2.2
201809,63.2,1.9
201810,50.8,-0.2
201811,40.3,1
201812,33.5,1.7
201901,34.5,4.4
201902,27.7,-6.5
201903,39.2,-0.5
201904,49.9,2.7
201905,53.6,-1.6
201906,64.3,1.1
201907,70.9,0.6
201908,71.6,2.8
201909,62,0.7
201910,46.5,-4.5
201911,41.6,2.3
201912,34.3,2.5
202001,34.7,4.6
202002,36.5,2.3
202003,40.9,1.2
202004,48.5,1.3
202005,58.1,2.9
202006,64.4,1.2
202007,71.7,1.4
202008,73.4,4.6
202009,65.6,4.3
202010,53.8,2.8
202011,41.4,2.1
202012,34.6,2.8
202101,34.8,4.7
202102,33.6,-0.6
202103,41.2,1.5
202104,49.6,2.4
202105,56.8,1.6
202106,70.6,7.4
202107,75.7,5.4
202108,70.7,1.9
202109,64.5,3.2
202110,50.8,-0.2
202111,45,5.7
202112,33,1.2
202201,34.1,4